,text,cnpj,count
10071,../data/Buscas de palavras chaves/emergencial/204.txt,14.884.711/0001-45,1
10112,../data/Buscas de palavras chaves/emergencial/205.txt,11.615.369/0001-35,1
10895,../data/Buscas de palavras chaves/emergencial/217.txt,26.938.887/0001-79,1
10913,../data/Buscas de palavras chaves/emergencial/217.txt,67.991.521/0001-09,1
10973,../data/Buscas de palavras chaves/emergencial/229.txt,00.740.969/0001-92,2
11784,../data/Buscas de palavras chaves/emergencial/259.txt,01.506.617/0001-74,1
11849,../data/Buscas de palavras chaves/emergencial/259.txt,40.432.544/0001-45,1
11905,../data/Buscas de palavras chaves/emergencial/276.txt,17.713.959/0001-10,1
11910,../data/Buscas de palavras chaves/emergencial/278.txt,02.091.365/0065-13,1
11942,../data/Buscas de palavras chaves/emergencial/278.txt,19.049.456/0001-38,1
12015,../data/Buscas de palavras chaves/emergencial/287.txt,30.368.027/0001-56,1
12154,../data/Buscas de palavras chaves/emergencial/353.txt,13.574.594/0186-46,1
12163,../data/Buscas de palavras chaves/emergencial/353.txt,16.959.280/0003-07,1
13540,../data/Buscas de palavras chaves/emergencial/369.txt,46.948.113/0001-53,1
13589,../data/Buscas de palavras chaves/emergencial/395.txt,14.432.557/0001-79,1
13617,../data/Buscas de palavras chaves/emergencial/395.txt,79.716.613/0001-33,1
13870,../data/Buscas de palavras chaves/emergencial/401.txt,60.085.055/0435-31,1
14034,../data/Buscas de palavras chaves/emergencial/419.txt,26.371.080/0001-60,1
14073,../data/Buscas de palavras chaves/emergencial/431.txt,30.286.804/0001-31,1
14563,../data/Buscas de palavras chaves/emergencial/55.txt,36.215.108/0001-24,1
14622,../data/Buscas de palavras chaves/emergencial/558.txt,26.245.666/0001-10,1
14647,../data/Buscas de palavras chaves/emergencial/558.txt,35.864.462/0001-68,1
14655,../data/Buscas de palavras chaves/emergencial/558.txt,36.399.627/0001-70,2
15355,../data/Buscas de palavras chaves/emergencial/60.txt,12.968.901/0001-89,1
15415,../data/Buscas de palavras chaves/emergencial/615.txt,10.571.872/0001-53,1
15587,../data/Buscas de palavras chaves/emergencial/641.txt,07.450.732/0001-31,1
15628,../data/Buscas de palavras chaves/emergencial/641.txt,28.055.226/0001-16,1
15860,../data/Buscas de palavras chaves/emergencial/673.txt,11.041.059/0001-88,1
15931,../data/Buscas de palavras chaves/emergencial/690.txt,09.400.433/0001-44,1
15932,../data/Buscas de palavras chaves/emergencial/690.txt,09.428.831/0001-36,1
16030,../data/Buscas de palavras chaves/emergencial/704.txt,44.575.700/0001-41,1
